"characters","blockId","rt","response","trial_index","time_elapsed","correct"
"mub","Part 1","427","f","2","187258","false"
"pin","Part 1","306","f","3","187566","true"
"jgb","Part 1","264","f","4","187832","false"
"cat","Part 1","348","f","5","188181","true"
