"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","qualtricsId","png","strokes"
"948","
    <h1>Plugin-demo</h1>
    <p>This experiment is just a demo of the sketchpad jsPsych plug-in!</p>
    <p> Press SPACE to begin </p>
    "," ","html-keyboard-response","0","2.0.0","952","null","",""
"null","
    <h1>Apple</h1> ","null","html-keyboard-response","1","2.0.0","1705","null","",""
"2067","","button","sketchpad","2","2.0.1","3844","null","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAfQAAAH0CAYAAADL1t+KAAAAAXNSR0IArs4c6QAAIABJREFUeF7t3VuopXXdB/C/jeYBkRCNyEozymgyhbAs0TDyKhrTUfOAoN4ESUeKsuh4YVhBFllXTQhjI9l4KrqQAiupPBAlZnph2VxINck05TipM7Nf/qt37fbM7Jm9Ts/az/N9PhuE9831HH6f7y++rcNe+5CFhYWF4ocAAQIECBDotMAhCr3T+bl5AgQIECAwEFDoFoEAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCAQIECBAQKHbAQIECBAgECCg0ANCNAIBAgQIEFDodoAAAQIECAQIKPSAEI1AgAABAgQUuh0gQIAAAQIBAgo9IEQjECBAgAABhW4HCBAgQIBAgIBCDwjRCP0UeMtb3lIefPDB1g1/yCGHlFe+8pXlL3/5S+vuzQ0RSBZQ6Mnpmi1O4JFHHimnn3562b17d6dmU/KdisvNdlRAoXc0OLfdP4GLL764/PCHP9xv8DVr1pRdu3atGsiOHTvKKaecUp566qmysLAw8n3Ukn/FK15RtmzZMvIxHkiAwIEFFLrtINABgfPPP7/cfffde93paaedVn73u9+18u6feeaZ8trXvrb87W9/G7vkTzjhhHL//feXl7/85a2czU0RaKuAQm9rMu6LwP8L7PvMfN26deWuu+7qnE8t+de85jVl69atI5V8fQb/ne98p7z//e/v3KxumMBqCCj01VB3TQIjCuz7zLz+/3feeeeIR7f/YY8//nh5+9vfXrZt23bAkq/FvmHDhnLVVVe1fyB3SGAVBRT6KuK7NIGDCez7zPzyyy8vt9xySzxanXvz5s37FXwt9jr/ZZddFm9gQAKTCCj0SdQcQ2AOArXAhj/ve9/7yq233jqHq7bnEldffXW5+eably32WvgXXHBBe27WnRBogYBCb0EIboHAvgJvfvOby29/+9vBf3zFFVeUjRs39hbpuuuuKzfccMOyL8nffvvtir23m2HwfQUUup0g0EKB+qtoe/bsGdzZOL8K1sJRZnZLN910U/ngBz/oGfvMRJ0oTUChpyVqngiB4cvtL3rRizr3JTJNB3DHHXeU9evXK/amoZ2/cwIKvXORueE+CAwL/ayzzir33XdfH0Yee0bFPjaZA8IFFHp4wMbrnsAZZ5xRHnroIS+3jxjdgYrdWxUjAnpYjIBCj4nSICkC3j+fLMnlil2pT2bpqG4KKPRu5uaugwW8fz5duGefffbi2xTVcvjhwunO6mgC7RdQ6O3PyB32TMD759MHXj9MOHx2fuKJJ5Ynn3xy+pM6A4GWCyj0lgfk9vonMCx0LxdPl/3SL+ZhOZ2lo7shoNC7kZO77JGAQp9N2PVZ+atf/erFkyn12bg6S3sFFHp7s3FnPRVQ6LML/pxzzim//OUvByf0fvrsXJ2pnQIKvZ25uKseCyj02Ya/9P30k08+uTzxxBOzvYCzEWiJgEJvSRBug8BQQKHPfheWvp/+5z//uZx00kmzv4gzElhlAYW+ygG4PIF9BRT67HfC++mzN3XG9gko9PZl4o56LqDQm1mAc889t9x7772Dk3s/vRljZ11dAYW+uv6uTmA/AYXe3FIsfT+9fgL+T3/6U3MXc2YCcxZQ6HMGdzkCKwko9JWEpvv33k+fzs/R7RVQ6O3Nxp31VEChNxu899Ob9XX21RNQ6Ktn78oElhVQ6M0vxrve9a7ys5/9bHAh76c37+0K8xFQ6PNxdhUCIwso9JGppnrg0vfT66+x1V9n80OgywIKvcvpufdIAYU+v1h93/v8rF2peQGF3ryxKxAYS0Chj8U19YOH3hs2bChXX3311OdzAgKrJaDQV0vedQkcQEChz3c1ht6nnHJKeeyxx+Z7cVcjMEMBhT5DTKciMAuBYcFs3769HHPMMbM4pXMcRGDofdRRR5UdO3awItBZAYXe2ejceKrAsGC++tWvlo9//OOpY7ZmrqF3/ZDc7t27W3NfboTAuAIKfVwxjyfQsMCwYC699NKyadOmhq/m9ENvv75mF7ouoNC7nqD7jxMYFswZZ5xRHnjggbj52jaQQm9bIu5nUgGFPqmc4wg0JDAsmBNPPLHUbzXz06yAQm/W19nnJ6DQ52ftSgRGEhgWzLHHHluefvrpkY7xoMkF/C765HaObJeAQm9XHu6GwOCrSOvPkUceWZ599lkiDQss/ca4hYWFhq/m9ASaE1Dozdk6M4GJBIYFc9hhh5Xnn39+onM4aHQBhT66lUe2W0Chtzsfd9dDgWHBrFmzpuzatauHAvMdWaHP19vVmhNQ6M3ZOjOBiQTqM/Na5H6NaiK+sQ869NBDF3//3EvuY/M5oEUCCr1FYbgVAlWgfmPZzp07BxgKpvmdOProoxe/IY53896u0JyAQm/O1pkJTCRQP92+bds2hT6R3vgHrV27tjz66KO8x6dzRMsEFHrLAnE7BOrvn2/ZskXBzGkVbrzxxvLRj36U95y8XaY5AYXenK0zE5hIoH5D3EMPPaRgJtIb/6Cvfe1r5ROf+ATv8ekc0TIBhd6yQNwOgUsuuaTcdtttCmZOq+Al9zlBu0zjAgq9cWIXIDCewA033FA+9alPKfTx2CZ+tA/FTUznwJYJKPSWBeJ2CDz33HPliCOOUOhzWoX6+/579uzhPSdvl2lOQKE3Z+vMBCYWGH7969ve9rbyq1/9auLzOHBlAV8ss7KRR3RDQKF3Iyd32TOB4e+i+3KZ5oNX6M0bu8J8BBT6fJxdhcBYAnfffXc5//zzB8fcddddZd26dWMd78GjCyj00a08st0CCr3d+bi7HgsMi8ZfXWt2CRR6s77OPj8BhT4/a1ciMJbAW9/61vLAAw8MjvGVpGPRjfXg4ecVvL0xFpsHt1BAobcwFLdEYCgwLJszzzyz/PrXvwbTgIBCbwDVKVdFQKGvCruLEhhNwIfjRnOa5lEKfRo9x7ZJQKG3KQ33QmAfAR+Oa34lFHrzxq4wHwGFPh9nVyEwsYAPx01MN9KBw0KvXzBT/w69HwJdFVDoXU3OffdGwIfjmo16WOj1K2D//e9/N3sxZyfQoIBCbxDXqQnMSsCH42Yluf95hrannnpqefjhh5u7kDMTaFhAoTcM7PQEZiHgw3GzUFz+HMNCv+eee8p5553X3IWcmUDDAgq9YWCnJzALgdtvv72sX79+cKrNmzeXCy+8cBan7f05lv5hlu3bt5djjjmm9yYAuiug0LubnTvvmYAPx80+8OGz83pmX94ze19nnK+AQp+vt6sRmFjAh+Mmplv2wPonU+sz9Ppz+OGHl//85z+zvYCzEZizgEKfM7jLEZhGYPiM0ve7T6P432N9h/v0hs7QLgGF3q483A2BgwpceeWVZePGjYPHXHvtteVb3/oWsQkFfKHMhHAOa62AQm9tNG6MwPICRxxxRHnuuecG/3Lr1q3luOOOQzWmwGc+85ly/fXXD4469thjy9NPPz3mGTycQPsEFHr7MnFHBA4q8I9//KMcf/zxg8fUct+5cyexMQW83D4mmId3QkChdyImN0lgbwEvvU+3EV5un87P0e0UUOjtzMVdEVhRwEvvKxIt+4A3vvGN5Q9/+MPg361du7Y88sgjk53IUQRaJqDQWxaI2yEwqoCX3keV2vtxXm6fzM1R7RdQ6O3PyB0SOKCAl97HXw4vt49v5ohuCCj0buTkLgkcUMBL76MvR/1q1+FfVLv44ovLD37wg9EP9kgCLRdQ6C0PyO0RWEnAS+8rCf3v33u5fXQrj+yegELvXmbumMB+Al56H20pvNw+mpNHdVNAoXczN3dNYD8BL70ffCkOPfTQsnv37sGDvvvd75ZrrrnGFhGIElDoUXEaps8CXno/ePr+slqf/9vRj9kVej9yNmVPBC6//PKyadOmwbRXXXVV+d73vteTyVcec1jo9X304TP1lY/yCALdEVDo3cnKnRIYSaD+JbbhnwK94447ynvf+96Rjkt+kGfnyemabSig0O0CgUCBpQX2m9/8ptS/pd7Xn6WfbP/ABz5Qbrrppr5SmDtcQKGHB2y8fgp84xvfKB/5yEcGw9dyf/LJJ8urXvWq3mGsWbOm7NmzZzB3/VDcCy+80DsDA/dHQKH3J2uT9kzg05/+dPnyl7+8WOr/+te/ytFHH90bhde//vXl8ccfX5x/WOy9ATBo7wQUeu8iN3CfBK644ory/e9/v3fPUOtnCOpnCYY/CwsLfYrdrD0VUOg9Dd7Y/RF4xzveUX7xi18MBq4l9+yzz8YPv/QzBPfdd18566yz4mc2IAGFbgcI9EDgtNNOKw8//PBg0uOPP778/e9/j5166YfgTj755PLEE0/EzmowAksFFLp9INATgZe+9KVl69atg2nf9KY3ld///vdxkx922GFl165dg7nqs3Tvm8dFbKCDCCh060GgRwJHHXVU2blz52Dic845p/z85z+PmX7dunXlRz/6kTKPSdQg4woo9HHFPJ5AxwWWPout3yx3yy23dHyi/97+0vfN6/9oqd9t74dAnwQUep/SNiuBUsozzzxT6t8FH37y+7rrrivXX399p22WlvkXvvCF8vnPf77T87h5ApMIKPRJ1BxDoOMCW7ZsKSeddNJiqd94443lwx/+cCenWvohuPpFMsP30Ds5jJsmMIWAQp8Cz6EEuixw//33lzPPPHNxhFNPPXXxk/BdmWvpZwJ8CK4rqbnPpgQUelOyzktgBgJLX0qu/3f9+tb6Na6z+rnzzjvLBRdcsNfp6u+t33vvvbO6RCPnOf300/f7lL4vj2mE2kk7JKDQOxSWW+2fwNJCXzr9LF9afvTRR8t5551XnnrqqcVL1OtedtllrfvA3Nlnn13qF8Xs+6PM+/ffDRPvL6DQbQWBlgvUP4F64YUXLnuXtXg/+9nPli9+8YtTT/HTn/60XHTRRWX79u2L56p/0KSe/3Of+9zU55/mBO9+97vLT37yk/1OUee/+eaby5VXXjnN6R1LIEJAoUfEaIg+CNTfGT/33HMXP8i278yzeta+YcOGcu211y7+TfV6nforYPXPjl5zzTVzpa5FvXHjxmWLvP7n9dfu/BAg8F8BhW4TCHRQoP7VtB07dhzwWftjjz1WXve610012Ze+9KVS/9m9e/fieV7ykpeU+r57fZ+9yZ9PfvKT5Stf+cqyRV7/2Myll17a5OWdm0AnBRR6J2Nz0wT+J7D017aWc6kvS9fH1C9bqV8qM+5P/YttmzZt2uuVgRNOOKHcc8895Q1veMO4pzvo47/+9a+Xj33sY8sW+a233louueSSmV7PyQgkCSj0pDTN0muBF7/4xeWFF14YyaCWfH1//J///Gepv/q10k/9TvR3vvOde31VbD3+ZS97WakfVPvQhz6016/ArXS+ff/9j3/84/Ke97xn2SK/7bbbyvr168c9pccT6J2AQu9d5AZOF6h/C7y+JF9LuKuf/q7/g2Pz5s37/UpdenbmIzCNgEKfRs+xBDokUJ9Rt73ka5HX9+jrH1rxQ4DAeAIKfTwvjyZAYBmB+vfVv/3tbw/K+I9//GN5/vnn93rU2rVry3HHHbf4nx1++OGlfsBu1H+OPPJI7gQIrCCg0K0IAQIzF3jwwQfLN7/5zcE3zv31r3+d+vvV6yft6wf7/BAgcGABhW47CBBoXKB+wr5+AG/Uf7Zt27b42Ppsvx7nhwCBgwsodBtCgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAG7/3loAAAA60lEQVQCCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQUOgBIRqBAAECBAgodDtAgAABAgQCBBR6QIhGIECAAAECCt0OECBAgACBAAGFHhCiEQgQIECAgEK3AwQIECBAIEBAoQeEaAQCBAgQIKDQ7QABAgQIEAgQ+D+VtGLZS9/E1AAAAABJRU5ErkJggg==","[[{""x"":234,""y"":370,""color"":""#000000"",""action"":""start"",""t"":658},{""x"":233,""y"":370,""action"":""move""},{""x"":234,""y"":370,""action"":""move""},{""x"":236,""y"":371,""action"":""move""},{""x"":246,""y"":375,""action"":""move""},{""x"":256,""y"":377,""action"":""move""},{""x"":271,""y"":377,""action"":""move""},{""x"":291,""y"":377,""action"":""move""},{""x"":305,""y"":370,""action"":""move""},{""x"":316,""y"":356,""action"":""move""},{""x"":322,""y"":339,""action"":""move""},{""x"":323,""y"":323,""action"":""move""},{""x"":322,""y"":308,""action"":""move""},{""x"":310,""y"":292,""action"":""move""},{""x"":294,""y"":284,""action"":""move""},{""x"":274,""y"":280,""action"":""move""},{""x"":253,""y"":280,""action"":""move""},{""x"":242,""y"":280,""action"":""move""},{""x"":237,""y"":282,""action"":""move""},{""x"":232,""y"":287,""action"":""move""},{""x"":230,""y"":295,""action"":""move""},{""x"":230,""y"":310,""action"":""move""},{""x"":231,""y"":327,""action"":""move""},{""x"":237,""y"":342,""action"":""move""},{""x"":247,""y"":357,""action"":""move""},{""x"":258,""y"":369,""action"":""move""},{""x"":271,""y"":376,""action"":""move""},{""x"":282,""y"":379,""action"":""move""},{""x"":298,""y"":380,""action"":""move""},{""action"":""end"",""t"":1249}]]"
