"characters","blockId","rt","response","trial_index","time_elapsed","correct"
"mub","Part 1","5500","f","2","14952","false"
"cat","Part 1","458","f","3","15412","true"
"pin","Part 1","379","f","4","15793","true"
"jgb","Part 1","346","f","5","16140","false"
