"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"CisHet","prime","1900"," ","2","154821","","","","","","",""
"","iat","1653","j","5","158726","Fluidity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","308","j","7","159297","Inclusivity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","13","j","9","159568","Traditional","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","253","j","11","160073","Hetero","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","137","j","13","160470","Conformity","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","87","j","15","160812","Queerness","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","12","j","17","161092","Biological","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","28","j","19","161375","Usual","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","60","j","21","161693","Diversity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","85","j","23","162038","Heterosexual","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","99","j","25","162396","Hetero","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","86","j","27","162739","Bisexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","95","j","29","163094","Straight","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","86","j","31","163435","Nonbinary","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","71","j","33","163765","Cisgendered","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","79","j","35","164097","Usual","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","90","j","37","164448","Cisgendered","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","67","j","39","164771","Inclusivity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","86","j","41","165117","Conformity","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","83","j","43","165457","Fluidity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","252","j","45","165964","Straight","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","108","j","47","166325","Transgender","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","67","j","49","166652","Biological","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","57","j","51","166967","Nonbinary","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","75","j","53","167301","Pansexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","77","j","55","167631","Genderqueer","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","69","j","57","167958","Genderqueer","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","83","j","59","168298","Traditional","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","81","j","61","168639","Androgynous","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","112","j","63","169009","Heteronormative","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","78","j","65","169347","Androgynous","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","104","j","67","169705","Heterosexual","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","88","j","69","170048","Bisexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","62","j","71","170370","Queerness","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","118","j","73","170744","Diversity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","103","j","75","171107","Cissexual","Cishet","Cishet","Cishet","LGBTQ+","false",""
"","iat","649","j","78","172968","Pneumonia","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","83","j","80","173304","OCD","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","103","j","82","173662","Bipolar Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","69","j","84","173987","OCD","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","65","j","86","174312","Psychosis","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","94","j","88","174661","Influenza","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","71","j","90","174991","Leukemia","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","60","j","92","175311","Epilepsy","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","75","j","94","175640","Anorexia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","32","j","96","175929","Migraine","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","45","j","98","176236","Schizophrenia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","18","j","100","176511","Common Cold","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","33","j","102","176801","Diabetes","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","46","j","104","177103","Epilepsy","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","64","j","106","177422","Influenza","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","52","j","108","177727","Panic Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","27","j","110","178013","Diabetes","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","39","j","112","178313","Meningitis","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","42","j","114","178608","PTSD","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","26","j","116","178889","Depression","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","8","j","118","179154","Pneumonia","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","7","j","120","179416","Anxiety","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","93","j","122","179766","Schizophrenia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","83","j","124","180108","Meningitis","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","59","j","126","180421","Autism","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","11","j","128","180699","Arthritis","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","25","j","130","180987","Psychosis","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","19","j","132","181269","Migraine","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","58","j","134","181581","Bipolar Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","125","j","136","181964","Anorexia","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","23","j","138","182248","Leukemia","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","45","j","140","182552","Panic Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","62","j","142","182873","Arthritis","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","53","j","144","183180","Asthma","Physical illness","Physical illness","Physical illness","Mental illness","false",""
"","iat","33","j","146","183468","Anxiety","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","9","j","148","183735","Autism","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","328","j","151","184932","PTSD","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","23","j","153","185220","Androgynous","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","66","j","155","185539","Nonbinary","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","69","j","157","185862","Migraine","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","570","j","159","186693","Straight","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","120","j","161","187071","Psychosis","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","104","j","163","187433","OCD","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","118","j","165","187812","Usual","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","107","j","167","188173","Fluidity","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","136","j","169","188567","Bipolar Disorder","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","114","j","171","188935","Asthma","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","111","j","173","189307","Traditional","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","140","j","175","189700","Arthritis","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","134","j","177","190087","Genderqueer","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","106","j","179","190445","Hetero","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","127","j","181","190826","Conformity","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","110","j","183","191202","Heterosexual","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","97","j","185","191553","Influenza","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","117","j","187","191927","Schizophrenia","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","113","j","189","192292","Panic Disorder","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","116","j","191","192661","Transgender","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","121","j","193","193034","Pansexual","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","124","j","195","193414","Meningitis","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","127","j","197","193796","Depression","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","151","j","199","194200","Queerness","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","109","j","201","194569","Common Cold","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","106","j","203","194929","Anorexia","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","137","j","205","195319","Epilepsy","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","94","j","207","195671","Anxiety","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","109","j","209","196041","Biological","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","146","j","211","196444","Leukemia","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","143","j","213","196843","Inclusivity","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","145","j","215","197242","Heteronormative","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","118","j","217","197613","Cissexual","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","94","j","219","197965","Cisgendered","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","139","j","221","198363","Autism","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","492","j","224","199845","Pansexual","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","137","j","226","200236","PTSD","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","106","j","228","200597","Straight","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","136","j","230","200988","OCD","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","132","j","232","201376","Anorexia","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","99","j","234","201731","Bisexual","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","126","j","236","202120","Migraine","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","136","j","238","202515","Diabetes","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","166","j","240","202936","Heteronormative","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","155","j","242","203350","Common Cold","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","137","j","244","203746","Depression","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","130","j","246","204129","Heterosexual","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","141","j","248","204525","Meningitis","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","154","j","250","204932","Androgynous","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","126","j","252","205314","Cissexual","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","22","f","254","205600","Hetero","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","76","j","256","205933","Psychosis","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","20","f","258","206214","Arthritis","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","81","f","260","206551","Transgender","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","1","j","262","206812","Cisgendered","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","80","f","264","207151","Usual","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","21","j","266","207427","Biological","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","78","f","268","207765","Leukemia","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","79","j","270","208104","Autism","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","15","f","272","208377","Asthma","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","70","f","274","208699","Inclusivity","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","48","j","276","209007","Diversity","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","116","f","278","209379","Bipolar Disorder","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","26","j","280","209663","Queerness","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","109","f","282","210026","Pneumonia","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","22","f","284","210314","Traditional","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","35","f","286","210608","Schizophrenia","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","68","f","288","210936","Panic Disorder","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
