"characters","blockId","rt","response","trial_index","time_elapsed","correct"
"mub","Part 1","284","f","2","1736","false"
"jgb","Part 1","296","f","3","2032","false"
"cat","Part 1","239","f","4","2272","true"
"pin","Part 1","346","f","5","2620","true"
