"characters","blockId","rt","response","trial_index","time_elapsed","correct"
"cat","Part 1","384","f","2","14007","true"
"jgb","Part 1","504","f","3","14513","false"
"pin","Part 1","410","f","4","14923","true"
"mub","Part 1","438","f","5","15363","false"
